
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:53 ........................................................................................... ~ 1s
  2026-05-12 15:40:58 ........................................................................................... ~ 0s
  2026-05-12 15:40:58 ........................................................................................... ~ 0s
  2026-05-12 15:40:58 ........................................................................................... ~ 0s
  2026-05-12 15:41:41 ........................................................................................... ~ 0s
  2026-05-12 15:41:42 ........................................................................................... ~ 0s
  2026-05-12 15:41:42 ........................................................................................... ~ 0s
  2026-05-12 15:41:42 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:25 ........................................................................................... ~ 0s
  2026-05-12 22:26:26 ........................................................................................... ~ 0s
  2026-05-12 22:26:26 ........................................................................................... ~ 0s
